DOE_ID,ScanLevel,P1_MPa,P2_MPa,W_kW,Cp_mg_L,Recovery,RecoveryError,TargetMet,PhysicalFeasible,Success,dP1_MPa,Jfirst1_LMH,PX_excess_MPa,Qhpp_m3h,RootEvalCount,Runtime_s,FailureReason,Saved_P1_MPa,Saved_P2_MPa,Saved_W_kW
1519,coarse,3.49858422374777,NaN,NaN,NaN,NaN,NaN,0,0,0,NaN,NaN,NaN,NaN,5,38.4082053,recovery_not_bracketed_in_P2,5.89929211187388,6.9284510300097,99.5902560090478
1519,coarse,3.65863141628951,NaN,NaN,NaN,NaN,NaN,0,0,0,NaN,NaN,NaN,NaN,5,31.7041987,recovery_not_bracketed_in_P2,5.89929211187388,6.9284510300097,99.5902560090478
1519,coarse,3.81867860883125,NaN,NaN,NaN,NaN,NaN,0,0,0,NaN,NaN,NaN,NaN,5,26.8874111,recovery_not_bracketed_in_P2,5.89929211187388,6.9284510300097,99.5902560090478
1519,coarse,3.97872580137299,NaN,NaN,NaN,NaN,NaN,0,0,0,NaN,NaN,NaN,NaN,5,4.9327921,recovery_not_bracketed_in_P2,5.89929211187388,6.9284510300097,99.5902560090478
1519,coarse,4.13877299391473,NaN,NaN,NaN,NaN,NaN,0,0,0,NaN,NaN,NaN,NaN,5,4.4443631,recovery_not_bracketed_in_P2,5.89929211187388,6.9284510300097,99.5902560090478
1519,coarse,4.29882018645647,8.20699000494576,153.562923749191,429.907699832175,0.491706994179412,9.26675119972131e-08,1,0,1,0.407706491848558,12.8189139306693,3.52806728253812,29.3666979904348,13,9.3393408,,5.89929211187388,6.9284510300097,99.5902560090478
1519,coarse,4.45886737899822,8.07248789582698,146.65403287121,434.980273581678,0.49170831266199,1.41115008994719e-06,1,0,1,0.399833867448866,14.4441164592221,3.24317158552523,29.3620181673937,11,4.5843334,,5.89929211187388,6.9284510300097,99.5902560090478
1519,coarse,4.61891457153996,7.9387503258139,140.07116187007,440.087450641617,0.491709854445266,2.95293336649571e-06,1,0,1,0.392047428580768,16.0746730318106,2.95895482500354,29.3573756873333,10,5.2921179,,5.89929211187388,6.9284510300097,99.5902560090478
1519,coarse,4.7789617640817,7.80627469511286,133.829067282511,445.24758183299,0.491711530476633,4.62896473257812e-06,1,0,1,0.384367789493519,17.7081749139999,2.67587673835849,29.352782934571,9,4.7302156,,5.89929211187388,6.9284510300097,99.5902560090478
1519,coarse,4.93900895662344,7.67530855488013,127.931486661586,450.474489328432,0.491709249351238,2.34783933822369e-06,1,0,1,0.376808282724252,19.3429776604041,2.39416081528738,29.348010702562,9,6.8837864,,5.89929211187388,6.9284510300097,99.5902560090478
1519,coarse,5.09905614916518,7.54611762181129,122.380055747262,455.772923233083,0.491707441236203,5.39724302528466e-07,1,0,1,0.369377788617233,20.9779024086673,2.11405643678871,29.3433259478296,9,6.3517231,,5.89929211187388,6.9284510300097,99.5902560090478
1519,coarse,5.25910334170692,7.41913604653193,117.179080261707,461.135633121065,0.491725839882707,1.89383708070201e-05,1,0,1,0.362082390024022,22.6120581383527,1.83598515218075,29.3398920186691,8,6.3701865,,5.89929211187388,6.9284510300097,99.5902560090478
1519,coarse,5.41915053424866,7.29346382301262,112.297200090948,466.596469886225,0.491707518697381,6.17185480777938e-07,1,0,1,0.354925495492881,24.2448995760613,1.55904736790946,29.3343653386429,11,6.7915263,,5.89929211187388,6.9284510300097,99.5902560090478
1519,coarse,5.5791977267904,7.16999809297305,107.749378269031,472.123143916581,0.491707905844912,1.00433301236658e-06,1,1,1,0.34791017419184,25.875833677078,1.28413086992879,29.3300020827189,10,6.3565196,,5.89929211187388,6.9284510300097,99.5902560090478
1519,coarse,5.73924491933214,7.0483386470416,103.516774146522,477.72359312024,0.491707653317698,7.51805798338001e-07,1,1,1,0.34103782944992,27.5045018120457,1.01083771964259,29.3256623361288,9,5.7854708,,5.89929211187388,6.9284510300097,99.5902560090478
1519,coarse,5.89929211187389,6.92833943957905,99.5874819813889,483.391801612174,0.49170708636449,1.84852589568685e-07,1,1,1,0.334309320352319,29.1305866011721,0.739024780852563,29.3213595864809,11,7.0240352,,5.89929211187388,6.9284510300097,99.5902560090478
1519,coarse,6.05933930441563,6.80977286316808,95.9482349819294,489.117773501837,0.491707140969109,2.39457209061378e-07,1,1,1,0.327724961101804,30.753824823339,0.468470639392064,29.3171398640309,11,7.7572449,,5.89929211187388,6.9284510300097,99.5902560090478
1519,coarse,6.21938649695737,6.69225357239982,92.5831014681038,494.887396993037,0.491707094107017,1.92595116521588e-07,1,1,1,0.321284622426343,32.3739970607209,0.198800846649035,29.3129468410802,10,6.1254668,,5.89929211187388,6.9284510300097,99.5902560090478
1519,coarse,6.37943368949911,6.57529435271156,90.3844636948615,500.675442831907,0.491711685843128,4.78433122791388e-06,1,0,1,0.314987882324401,33.9909039869059,0,29.3090383713022,8,5.9280288,,5.89929211187388,6.9284510300097,99.5902560090478
1519,coarse,6.53948088204085,6.45776490936278,90.9888938290539,506.455640081073,0.49170691448756,1.29756604905218e-08,1,0,1,0.308833880940235,35.6044019944833,0,29.3045575940276,12,8.9392989,,5.89929211187388,6.9284510300097,99.5902560090478
1519,coarse,6.69952807458259,NaN,NaN,NaN,NaN,NaN,0,0,0,NaN,NaN,NaN,NaN,5,3.8838302,recovery_not_bracketed_in_P2,5.89929211187388,6.9284510300097,99.5902560090478
1519,coarse,6.85957526712433,NaN,NaN,NaN,NaN,NaN,0,0,0,NaN,NaN,NaN,NaN,5,4.168769,recovery_not_bracketed_in_P2,5.89929211187388,6.9284510300097,99.5902560090478
1519,coarse,7.01962245966607,NaN,NaN,NaN,NaN,NaN,0,0,0,NaN,NaN,NaN,NaN,5,3.842214,recovery_not_bracketed_in_P2,5.89929211187388,6.9284510300097,99.5902560090478
1519,coarse,7.17966965220781,NaN,NaN,NaN,NaN,NaN,0,0,0,NaN,NaN,NaN,NaN,5,3.9146802,recovery_not_bracketed_in_P2,5.89929211187388,6.9284510300097,99.5902560090478
1519,coarse,7.33971684474955,NaN,NaN,NaN,NaN,NaN,0,0,0,NaN,NaN,NaN,NaN,5,3.9761228,recovery_not_bracketed_in_P2,5.89929211187388,6.9284510300097,99.5902560090478
1519,coarse,7.4997640372913,NaN,NaN,NaN,NaN,NaN,0,0,0,NaN,NaN,NaN,NaN,5,2.7833111,recovery_not_bracketed_in_P2,5.89929211187388,6.9284510300097,99.5902560090478
1519,coarse,7.65981122983304,NaN,NaN,NaN,NaN,NaN,0,0,0,NaN,NaN,NaN,NaN,5,4.0211352,recovery_not_bracketed_in_P2,5.89929211187388,6.9284510300097,99.5902560090478
1519,coarse,7.81985842237478,NaN,NaN,NaN,NaN,NaN,0,0,0,NaN,NaN,NaN,NaN,5,4.0433638,recovery_not_bracketed_in_P2,5.89929211187388,6.9284510300097,99.5902560090478
