Group,GroupCount,ValidCount,ValidPct,PhysicalFeasibleCount,RecoveryTargetMetCount,MeanProposalScore,MeanNearestPriorDistance,MeanRuntime_s,MaxRuntime_s
LowTemperatureChallenge,200,133,66.5,134,173,0.65986567306216,0.119182094912301,31.291354253,125.6871082
FlowEdgeChallenge,200,145,72.5,149,157,0.723175966210269,0.111762483365417,41.3379764785,171.7430837
ScoreBoundaryProbe,400,231,57.75,268,244,0.573987915300163,0.132480606731772,32.6428425535,153.6246707
HighConfidenceCore,1600,1517,94.8125,1534,1535,0.858184216582148,0.103251732320597,27.267929944125,171.1794538
