State_ID,State_Type,Probe_Index,Probe_Phase,R_target,DatasetValid,PhysicalFeasible,RecoveryTargetMet,Recovery_actual,Recovery_error,P1_MPa,P2_MPa,W_kW,Cp_mg_L,dP1_MPa,Jfirst1_LMH,ExitFlag,Runtime_s,FailureReason
1,Core3D,1,Coarse,0.34,0,0,0,0.344204305594917,0.00420430559491652,4.29673652613555,6.05851747438398,76.5657783988361,662.717470803038,0.31693841740864,10.8659816179465,-2,62.8138609,Product_salinity_max;Recovery_target_mismatch
1,Core3D,2,Coarse,0.367781137514269,0,0,0,0.38588617396937,0.0181050364551012,4.07746274908988,6.83191154500405,98.5401304133819,597.54345870023,0.325518049674491,8.97594878829258,-2,42.9721502,Product_salinity_max;Recovery_target_mismatch
1,Core3D,3,Coarse,0.395562275028537,0,0,0,0.452735642937112,0.0571733679085746,3.51746274908988,8.27282272841101,144.258809209239,511.581872422378,0.346332463515325,4.44617700313108,-2,33.356623,Product_salinity_max;Recovery_target_mismatch
1,Core3D,4,Coarse,0.423343412542806,0,0,0,0.439038703338141,0.0156952907953354,3.51746274908988,8.06315002844513,139.082264187786,521.75617498216,0.346250894336062,4.46160295305873,-2,40.5085539,Product_salinity_max;Recovery_target_mismatch
1,Core3D,5,Coarse,0.451124550057074,0,0,0,0.454489316431702,0.00336476637462735,3.51746274908988,8.3,144.928493406624,510.342048311467,0.346342863289105,4.44421017689663,-2,42.5385128,Product_salinity_max;Recovery_target_mismatch
1,Core3D,6,Coarse,0.478905687571343,0,0,1,0.478905687021953,-5.49389478354811e-10,4.01202968512981,8.3,135.081760624607,514.352327600728,0.328641899292267,8.31056708630356,-2,37.7284149,Product_salinity_max
1,Core3D,7,Coarse,0.506686825085611,0,0,1,0.506686251271155,-5.73814456727995e-07,4.56985483444727,8.3,125.529301189428,518.340104398307,0.307933439319675,12.9370162608671,-2,37.314732,Product_salinity_max
1,Core3D,8,Coarse,0.53446796259988,0,0,1,0.534464637957473,-3.32464240704322e-06,5.18760133521474,8.3,117.394541189696,526.283798415103,0.28597246875053,18.1212876955669,-2,19.9019381,Product_salinity_max
1,Core3D,9,Coarse,0.562249100114148,0,0,0,0.540004417628632,-0.022244682485516,6.70873137454494,7.29818432061144,88.562333685722,582.302758505309,0.238099843943258,30.8757182516805,-2,15.9963887,Product_salinity_max;Recovery_target_mismatch
2,Core3D,1,Coarse,0.34,0,0,0,0.317471524279678,-0.0225284757203216,5.16820967589154,4.99446280544547,60.3160467762381,648.677010462725,0.357581815027426,22.1760565116563,-2,57.7913524,Stage1_dP_max;Product_salinity_max;Recovery_target_mismatch
2,Core3D,2,Coarse,0.362533827109096,0,0,0,0.428665821202148,0.0661319940930519,5.16820967589154,6.54674706410207,94.2523162859391,515.876744977985,0.358696459240984,21.9592135452302,-2,40.7332483,Stage1_dP_max;Product_salinity_max;Recovery_target_mismatch
2,Core3D,3,Coarse,0.385067654218193,0,0,0,0.442978112008089,0.0579104577898965,5.35842121199837,6.61136821381544,94.2088972799071,511.551757091885,0.3500856834619,23.9689579553505,-2,35.6546449,Stage1_dP_max;Product_salinity_max;Recovery_target_mismatch
2,Core3D,4,Coarse,0.407601481327289,0,0,0,0.450488336837399,0.0428868555101098,5.35972221663136,6.72368925890083,97.1625670916791,505.759794836675,0.350099460422036,23.9684775828378,-2,36.3021919,Stage1_dP_max;Product_salinity_max;Recovery_target_mismatch
2,Core3D,5,Coarse,0.430135308436385,0,0,0,0.45570221284597,0.0255669044095849,5.36055009125918,6.80244757769354,99.229105052574,501.882349992066,0.350112317483072,23.9673636857222,-2,34.3615359,Stage1_dP_max;Product_salinity_max;Recovery_target_mismatch
2,Core3D,6,Coarse,0.452669135545482,0,0,0,0.458057273772528,0.00538813822704631,5.36086144042845,6.83827134776465,100.168214765981,500.166980152107,0.350120933483717,23.9661977662431,-2,31.606501,Stage1_dP_max;Product_salinity_max;Recovery_target_mismatch
2,Core3D,7,Coarse,0.475202962654578,1,1,1,0.475202962654569,-9.6034291630076e-15,5.67302320409596,6.87530183544735,98.6266338116238,500.000000000012,0.336387489989477,27.2694671059095,1,17.7460052,
2,Core3D,8,Coarse,0.497736789763675,1,1,1,0.497736789763676,1.66533453693773e-15,6.05494438244364,6.97464435525409,98.9538068906551,499.999999999998,0.320386320675206,31.2925327486065,1,14.1789505,
2,Core3D,9,Coarse,0.520270616872771,1,1,1,0.520270616872771,1.11022302462516e-16,6.39948865367245,7.13404640232132,101.588145319488,500,0.306712944640066,34.9001161838203,1,15.4327076,
2,Core3D,10,LowerBisect,0.46393604910003,1,1,1,0.463936049100048,1.84852133600089e-14,5.4675954697604,6.8489659086099,99.5135730144958,499.999999999998,0.345360718207814,25.0966969390767,1,52.3962876,
2,Core3D,11,LowerBisect,0.458302592322756,0,0,0,0.458152877375992,-0.000149714946763801,5.64764303138291,6.62553932375699,92.3968998540152,511.115801090888,0.337333501208159,27.0314844430208,-2,62.9859769,Product_salinity_max;Recovery_target_mismatch
2,Core3D,12,LowerBisect,0.461119320711393,1,1,1,0.461119320711385,-7.60502771868232e-15,5.41469323007875,6.84487976380476,99.8595774376471,500.000000000012,0.347712685851923,24.5363113336191,1,22.3802974,
2,Core3D,13,LowerBisect,0.459710956517074,1,1,1,0.459710956517077,2.16493489801906e-15,5.3880078499377,6.8432156257083,100.052250551089,500.000000000004,0.348905436562807,24.2535177195444,1,21.6461574,
2,Core3D,14,LowerBisect,0.459006774419915,1,1,1,0.459006774419915,-2.22044604925031e-16,5.37460640953006,6.84247860867879,100.153589295427,500,0.349506039946332,24.1114692682556,1,23.2675106,
3,Core3D,1,Coarse,0.34,0,0,0,0.394428603605898,0.0544286036058983,3.46636008224262,6.17253362363696,103.166644147454,514.095749604053,0.338786887294311,6.72635225892661,-2,63.5867348,Product_salinity_max;Recovery_target_mismatch
3,Core3D,2,Coarse,0.368896521923161,0,0,0,0.403944217331162,0.0350476954080015,3.46636008224262,6.27367231164035,105.974715704238,504.99019188217,0.33886974082078,6.70754837236382,-2,44.9155439,Product_salinity_max;Recovery_target_mismatch
3,Core3D,3,Coarse,0.397793043846321,0,0,0,0.409396816419722,0.0116037725734007,3.46636008224262,6.33228381747107,107.598264207371,500.000791553399,0.338917075313255,6.69680435225284,-2,29.2457308,Product_salinity_max;Recovery_target_mismatch
3,Core3D,4,Coarse,0.426689565769482,1,1,1,0.426689565769481,-8.32667268468867e-16,3.7451088030782,6.35576237331722,102.613552270484,500.000000000001,0.324867385416139,10.2335314198204,1,24.2799445,
3,Core3D,5,Coarse,0.455586087692642,1,1,1,0.455586087692641,-8.32667268468867e-16,4.20090462997358,6.40697545437156,95.990610321905,500.000000000001,0.301339498049532,16.2855240978447,1,25.4287649,
3,Core3D,6,Coarse,0.484482609615803,1,1,1,0.484482609615804,1.27675647831893e-15,4.61728615445301,6.52071385886567,93.1029870736673,499.999999999999,0.280833107508521,21.8724455424245,1,24.1019217,
3,Core3D,7,Coarse,0.513379131538964,1,1,1,0.513379131538964,3.33066907387547e-16,4.98828822372371,6.707560055156,93.5725003186104,500,0.263737963521809,26.8356337453724,1,23.456226,
3,Core3D,8,Coarse,0.542275653462124,1,1,1,0.542275653462121,-3.44169137633799e-15,5.31355921183023,6.96784147320254,96.7103620324047,500.000000000004,0.249726331949367,31.1579467678772,1,22.5803715,
3,Core3D,9,Coarse,0.571172175385285,0,0,0,0.557471507295843,-0.0137006680894417,5.48799008034783,7.1243356458244,98.8844371513119,501.017740700864,0.242572534003739,33.4661842766035,-2,37.9921685,Product_salinity_max;Bulk_brine_concentration_max;Recovery_target_mismatch
3,Core3D,10,LowerBisect,0.412241304807901,1,1,1,0.412241304807902,1.11022302462516e-16,3.51166623833063,6.33726257549909,106.795810211104,500,0.336715403129111,7.2530667344329,1,22.9320266,
3,Core3D,11,LowerBisect,0.405017174327111,0,1,0,0.409397677088237,0.00438050276112528,3.46636008224262,6.33229310788561,107.598521332472,500.000016703787,0.338917082776557,6.69680265815244,-2,24.9393828,Recovery_target_mismatch
3,Core3D,12,LowerBisect,0.408629239567506,0,1,0,0.409397695625446,0.000768456057940015,3.46636008224262,6.3322933079841,107.598526870474,500.000000015,0.338917082937303,6.69680262166468,-2,25.3334129,Recovery_target_mismatch
3,Core3D,13,LowerBisect,0.410435272187704,1,1,1,0.410435272187706,2.05391259555654e-15,3.48284748222701,6.3341913241216,107.308227069653,499.999999999997,0.33812141489905,6.8980708785274,1,23.575417,
