DOE_ID,DOE_Type,Qf_train_m3h,T_RO_in_C,Cf_kg_m3,R_target
1,ExternalVerification,61.7850809697701,27.8805858638692,38.8160938567939,0.472761877257086
2,ExternalVerification,58.7974371005889,34.4390408455076,39.8989348377431,0.441569635733629
3,ExternalVerification,60.0058862843138,40.1871394475422,40.0453448186944,0.420718696178931
4,ExternalVerification,55.6120458393531,30.0222707728981,39.9314729913412,0.529867101824774
5,ExternalVerification,62.0819056277058,35.9349624555982,41.3512137285483,0.400782553811581
6,ExternalVerification,57.2892019197129,29.401660637079,40.3612972207679,0.474223538067099
7,ExternalVerification,56.7272538176182,32.5540364541043,38.6038221320647,0.494491955718835
8,ExternalVerification,61.4705776610412,41.9941152025036,39.2901360963545,0.467124628342618
9,ExternalVerification,58.4034559376538,42.2883021106527,41.0957126213186,0.451847730521265
10,ExternalVerification,59.3593363942659,32.4257632108261,41.0581420419053,0.434361114534214
11,ExternalVerification,56.1448230058928,25.244499827518,38.5452212711605,0.535721247079148
12,ExternalVerification,62.6889664433734,30.2388143307491,41.3991774753353,0.453193076385319
13,ExternalVerification,57.8924873259976,36.7667390019492,40.3162406340521,0.406709929080076
14,ExternalVerification,60.5224703268973,40.8857489682532,39.1969481103581,0.498648543486848
15,ExternalVerification,56.5485510623711,33.2304585618162,40.1755552224634,0.400599409665935
16,ExternalVerification,61.8462050732648,35.3022365834376,40.2925533989267,0.482210463731365
17,ExternalVerification,59.0906223949709,20.1292590319018,39.9508373722034,0.481637180761601
18,ExternalVerification,59.6484877240915,35.0714137932696,39.953366131883,0.464631491212689
19,ExternalVerification,55.2508046745171,43.843771383434,39.8890933822444,0.408507227221725
20,ExternalVerification,62.5025253944967,30.8578008453744,39.8272612836916,0.415950408345026
21,ExternalVerification,57.4669382448131,20.5742553192294,38.984690880745,0.471577646095852
22,ExternalVerification,60.888052707779,22.9458514109127,39.2420279577074,0.440630616175179
23,ExternalVerification,57.1555010133976,27.4761297858177,40.1268818483652,0.480970700461806
24,ExternalVerification,61.2604078137558,31.2981987640419,39.434707169422,0.434590072925702
25,ExternalVerification,58.2917491387801,37.2702360503824,38.9026437413576,0.496449885629851
26,ExternalVerification,59.4976066016715,43.2134469116241,41.018307312919,0.471052242316119
27,ExternalVerification,55.9477902104155,24.6129285738877,38.9965771993407,0.442731359619953
28,ExternalVerification,62.7761743192802,37.6004725028564,39.0341484835339,0.435608662295484
29,ExternalVerification,58.0895413682893,37.3071498387733,40.603165614331,0.486476575736761
30,ExternalVerification,60.1085468599429,40.3660014904049,41.4154318674587,0.476065620537558
31,ExternalVerification,61.6217798978268,39.4737602645559,41.0066502268233,0.436789023697703
32,ExternalVerification,58.6568508083287,20.3906796009404,40.662086892878,0.514666651518346
33,ExternalVerification,59.9505017062147,25.3349248030947,40.1195483751025,0.497466023370353
34,ExternalVerification,55.6634411092883,35.4993899815058,39.8569033133747,0.431794261914989
35,ExternalVerification,62.2014352769939,39.1264915665424,40.0873701739817,0.432266546014307
36,ExternalVerification,57.4125989261006,20.0685167988228,41.2530706867013,0.505304448505802
37,ExternalVerification,60.7605303054347,32.8512090982882,40.0141123785189,0.464588064116013
38,ExternalVerification,56.8671698410851,22.2791261599209,40.8409904660962,0.414899134906763
39,ExternalVerification,61.3309337174255,31.6101983412504,40.1459110424728,0.409292103883373
40,ExternalVerification,58.6098470424348,36.6321822328387,38.6391530641033,0.455112229474976
41,ExternalVerification,59.1680819198174,24.8180853904788,38.6415681540009,0.43875351034421
42,ExternalVerification,56.012728006971,42.1920452288288,40.4724187604708,0.45779026421025
43,ExternalVerification,62.6187465937924,23.7793534573634,38.8894000413735,0.444561974360968
44,ExternalVerification,57.720164966334,42.4465232636947,39.3981116739599,0.411366487114038
45,ExternalVerification,60.4435945269775,26.4474287568438,41.3640729259511,0.43641117705758
46,ExternalVerification,56.680876553084,21.6242662309536,39.2721899311124,0.4931545341936
47,ExternalVerification,62.0235125186502,29.8295535450704,40.2004971490177,0.417812867489451
48,ExternalVerification,58.9715269943347,29.5354664746103,38.6870910704122,0.506822840399553
49,ExternalVerification,59.7751422741955,44.4761257150047,38.5965114572716,0.486981933906639
50,ExternalVerification,55.4424509813571,21.1960812326927,39.99286842963,0.526126694560246
51,ExternalVerification,62.3279082065592,34.7679840583421,39.9142822266121,0.485965868366283
52,ExternalVerification,57.569258221017,34.280058189258,41.1984044145273,0.417070680986027
53,ExternalVerification,60.9625975406585,20.8178103137496,38.6586004029519,0.423955022220918
54,ExternalVerification,56.9602784476517,28.8850760459189,40.6567396144234,0.505902821696979
55,ExternalVerification,61.1354287500361,44.7207811957455,38.5095039888823,0.45156075538315
56,ExternalVerification,58.1743337005043,26.0842104272508,39.7813034880388,0.409644066711564
57,ExternalVerification,59.4505860546576,44.5853913492981,41.1746315240991,0.50834211074154
58,ExternalVerification,55.8134444171456,24.0681599930344,39.255517631075,0.513112711319062
59,ExternalVerification,62.910520065806,37.449368755976,39.340261517533,0.475512564706143
60,ExternalVerification,58.0239719286593,41.1303886981866,38.8712245594432,0.433962127653547
61,ExternalVerification,60.2781887621036,38.1480114100136,39.4857154036047,0.426755464641764
62,ExternalVerification,56.384652733257,24.4051521037803,38.7216816483935,0.539314287948053
63,ExternalVerification,61.6703206599103,37.0108426305197,39.9203149152904,0.454047985073058
