Group,GroupCount,ValidCount,ValidPct,PhysicalFeasibleCount,RecoveryTargetMetCount,MeanProposalScore,MeanNearestPriorDistance,MeanRuntime_s,MaxRuntime_s
Train,1680,1424,84.7619047619048,1461,1481,0.782972270201725,0.110502816803527,29.596427317619,171.7430837
Validation,360,292,81.1111111111111,303,308,0.779324134065367,0.110263115671835,29.9602796855555,158.1115184
Test,360,310,86.1111111111111,321,320,0.787078161954328,0.10845687830395,29.7333124941667,149.3559577
