DOE_ID,DOE_Type,Qf_train_m3h,T_RO_in_C,Cf_kg_m3,R_target,W_RO_train_kW,Cp_mg_L,P1_opt_gauge_MPa,P2_opt_gauge_MPa,PX_excess_pressure_MPa,FminconIterations,FminconFunctionCount,HybridSeedRankUsed,HybridSeedP1_N30_MPa,HybridSeedP2_N30_MPa
955,HighConfidenceCore,59.1539273264195,37.7556621568212,38.7741326698563,0.460039883721232,97.6393132588507,471.349594082247,5.07151571620026,6.51501595738934,1.14553214805636,7,90,1,5.07151571620026,6.47872541465717
1519,HighConfidenceCore,58.8876105903969,32.2501801392686,39.3699516045936,0.4917069015119,99.5902560090478,483.387835057534,5.89929211187388,6.9284510300097,0.739135316927689,6,90,1,5.89929211187388,6.88770295004185
2330,HighConfidenceCore,58.6579443998959,36.7272740738195,38.5930983738973,0.465024168167129,99.2654273705154,469.611105528497,5.06239183778443,6.60821226414507,1.24788692322352,6,90,2,5.06239183778443,6.57194273120067
