Target,Hidden,Seed,Val_RMSE,Val_MAE,Val_R2,Val_MAPE_pct,BestEpoch
W_RO_train_kW,12,20260812,0.271375340177901,0.195325182330622,0.999370613939588,0.201841452579258,167
W_RO_train_kW,12,20260829,0.216770376748389,0.142435146843759,0.999598416164737,0.146584679877498,431
W_RO_train_kW,12,20260907,0.294085997241864,0.201364318339406,0.999260862816354,0.208097038879847,112
W_RO_train_kW,20,20260812,0.196559328855147,0.130371791588462,0.999669810180067,0.134504940042839,90
W_RO_train_kW,20,20260829,0.168226198796383,0.115518581365616,0.999758140237618,0.11841451952738,203
W_RO_train_kW,20,20260907,0.235976880048642,0.161185936461464,0.999524100478739,0.166611417366407,144
W_RO_train_kW,16-8,20260812,0.0845755421117131,0.0465348577526638,0.99993886837524,0.0484845713167196,374
W_RO_train_kW,16-8,20260829,0.0722779972924694,0.040976521065073,0.999955353380699,0.0427899299473773,199
W_RO_train_kW,16-8,20260907,0.0630664419109529,0.0349243486787623,0.999966008289644,0.0359020222321557,350
W_RO_train_kW,24-12,20260812,0.0667529172710721,0.03753662291175,0.999961918253417,0.0386636229104373,204
W_RO_train_kW,24-12,20260829,0.076257879915982,0.0426843254286955,0.999950301210329,0.0440987836532042,120
W_RO_train_kW,24-12,20260907,0.0831225689268416,0.0467689190001015,0.999940950765521,0.0489643557435158,98
P1_opt_gauge_MPa,12,20260812,0.0129925170449856,0.00905034001594907,0.999715483991777,0.168508888063875,131
P1_opt_gauge_MPa,12,20260829,0.0122306722582326,0.00850860314372766,0.999747872177112,0.160055829735741,314
P1_opt_gauge_MPa,12,20260907,0.0167608253225175,0.0102819285435563,0.999526509885385,0.190282026163822,160
P1_opt_gauge_MPa,20,20260812,0.00770994313553644,0.00489003498752384,0.999899810440707,0.0897199473770919,250
P1_opt_gauge_MPa,20,20260829,0.00860605301321393,0.00532056372341619,0.999875167361381,0.0969225856448942,141
P1_opt_gauge_MPa,20,20260907,0.00935405273914941,0.00599861407973867,0.999852524545002,0.110348322075701,78
P1_opt_gauge_MPa,16-8,20260812,0.00630792172968791,0.00398857789315383,0.999932935497367,0.0729190862156854,90
P1_opt_gauge_MPa,16-8,20260829,0.00580951750397577,0.00337899652602506,0.999943114674756,0.061123533988062,74
P1_opt_gauge_MPa,16-8,20260907,0.00559682982744052,0.0034790507966264,0.999947203598727,0.0634952669045184,94
P1_opt_gauge_MPa,24-12,20260812,0.00608293317013556,0.00368844096432663,0.999937634241787,0.0671769018962937,45
P1_opt_gauge_MPa,24-12,20260829,0.00486616854719678,0.00291220110407277,0.999960088834443,0.0527919266854869,57
P1_opt_gauge_MPa,24-12,20260907,0.00508463174099491,0.00291378795227301,0.999956424826513,0.053526543975166,115
P2_opt_gauge_MPa,12,20260812,0.0110534174348938,0.00760572053610081,0.99956792064197,0.112410990479039,180
P2_opt_gauge_MPa,12,20260829,0.0110761805014323,0.00780482104147323,0.999566139187746,0.115839291237196,145
P2_opt_gauge_MPa,12,20260907,0.011291104577822,0.00757428348749047,0.99954913841281,0.112119455810939,58
P2_opt_gauge_MPa,20,20260812,0.00712159092523353,0.00499702991859946,0.999820640484149,0.0733855504768827,124
P2_opt_gauge_MPa,20,20260829,0.00866180440665928,0.0058150680423979,0.999734669533147,0.0862341957180597,70
P2_opt_gauge_MPa,20,20260907,0.0083553759085117,0.0056425237824332,0.999753110646155,0.0841571087268583,96
P2_opt_gauge_MPa,16-8,20260812,0.00402965499657185,0.002369154802631,0.999942574325344,0.0351528539935436,119
P2_opt_gauge_MPa,16-8,20260829,0.0036006253158308,0.00239840662256877,0.999954151383287,0.0352984069575434,147
P2_opt_gauge_MPa,16-8,20260907,0.00290206136071579,0.00182442312735596,0.999970215963352,0.0269712980951302,217
P2_opt_gauge_MPa,24-12,20260812,0.0047777185975521,0.00304346012452391,0.999919274357688,0.0452033658997975,49
P2_opt_gauge_MPa,24-12,20260829,0.00434922802203337,0.00205968156057509,0.999933104834746,0.0305592605320585,94
P2_opt_gauge_MPa,24-12,20260907,0.00254289914865597,0.001508218934596,0.999977131975507,0.0225061958957783,156
