DOE_ID,DOE_Type,DataSplit,Qf_train_m3h,T_RO_in_C,Cf_kg_m3,R_target,ProposalFeasibilityScore,NearestPriorDistance,Rmax_analytic_design
1,LowTemperatureChallenge,Train,56.9145035339759,26.1471175269828,38.6782291314201,0.512221378497661,0.976267240753394,0.110971151136413,0.532961804213758
2,LowTemperatureChallenge,Train,57.7466462951639,26.4707049823681,41.4553137593998,0.518526838799834,0.616867182875789,0.0627968403738417,0.525238468500544
3,LowTemperatureChallenge,Train,54.0443550894682,26.8592552992411,40.0880693864501,0.541237622502815,0.563911371834382,0.145896452611739,0.554675202386033
4,LowTemperatureChallenge,Train,48.3432121928897,26.999033799415,38.5432735816712,0.490253628093201,0.623462616320967,0.181034885414024,0.571935490707584
5,LowTemperatureChallenge,Train,61.0675974768243,26.7381613716983,40.3409324652334,0.492812718086538,0.583175672968519,0.162741756182184,0.496512036830605
6,LowTemperatureChallenge,Train,57.5138803209854,20.1899975816744,39.5429034184385,0.525305053256381,0.641856905499221,0.051744754047724,0.527376316634471
7,LowTemperatureChallenge,Train,51.7019859615466,25.937890188029,39.1331297283955,0.54324481384349,0.615803606122856,0.161289622634485,0.565344919235805
8,LowTemperatureChallenge,Train,61.4005569364409,26.7845516344341,39.2984216204019,0.482991923311428,0.568549738854799,0.0665441652760066,0.493803311272508
9,LowTemperatureChallenge,Train,53.5238538874097,25.7765359784167,38.5114384937229,0.452820449786036,0.576335411771253,0.182364082075824,0.566914118369855
10,LowTemperatureChallenge,Validation,56.7173721457679,26.5255260435385,39.7859897127096,0.482356264301249,0.610948958576453,0.17190385947978,0.534824635485622
11,LowTemperatureChallenge,Train,61.9151489198208,25.1676506334187,41.182354963672,0.488189594272752,0.559822797224674,0.196161367159723,0.48967425714347
12,LowTemperatureChallenge,Train,58.1667084899068,26.5176601274387,38.7580070487355,0.443806764242534,0.588696624133939,0.0998122397166912,0.521423691694591
13,LowTemperatureChallenge,Train,54.5510215913031,20.2602613648844,38.8558710115465,0.555742967862446,0.569938120975385,0.139101749886167,0.556182928388332
14,LowTemperatureChallenge,Train,57.1653499123522,25.946507434886,40.5600058290734,0.52089063101568,0.71677735797656,0.0842168131096279,0.530609958598517
15,LowTemperatureChallenge,Train,53.8928959673613,22.1882591582177,39.1088540938332,0.496162318655842,0.560385359913909,0.106229556068053,0.56301152067378
