Target,Hidden,Seed,Val_RMSE,Val_MAE,Val_R2,Val_MAPE_pct,BestEpoch
Cp_margin_mg_L,12,20260812,0.166329203191853,0.122628547413386,0.999736362149898,4.16242602807301,43
Cp_margin_mg_L,12,20260829,0.255356909178309,0.201964210388152,0.999378607548223,5.44874391487587,67
Cp_margin_mg_L,12,20260907,0.264465624250854,0.205872118972048,0.999333486106674,4.62082034332546,75
Cp_margin_mg_L,20,20260812,0.175315720012791,0.138945718472071,0.99970710465685,4.077928395559,31
Cp_margin_mg_L,20,20260829,0.136862144815677,0.0940114394587423,0.999821500324559,3.48534877406767,130
Cp_margin_mg_L,20,20260907,0.15229705883182,0.0995639662880978,0.999778968698988,2.68576556572704,160
Cp_margin_mg_L,16-8,20260812,0.482557638640162,0.350526088416785,0.997780939531542,7.4446724582744,22
Cp_margin_mg_L,16-8,20260829,0.273812802305481,0.207419004556295,0.999285539460141,4.90374487796414,69
Cp_margin_mg_L,16-8,20260907,0.396910862086463,0.292638593956144,0.998498737225796,7.39658395080821,19
Cp_margin_mg_L,24-12,20260812,0.465165583529113,0.271104896625302,0.997938013122535,11.0475752343161,36
Cp_margin_mg_L,24-12,20260829,0.395907957675496,0.285363862918941,0.998506314347093,10.8949298914127,18
Cp_margin_mg_L,24-12,20260907,0.29255340556444,0.18533520501237,0.999184392776597,13.6528460889375,18
