DOE_ID,ScanLevel,P1_MPa,P2_MPa,W_kW,Cp_mg_L,Recovery,RecoveryError,TargetMet,PhysicalFeasible,Success,RootEvalCount,Runtime_s,FailureReason,SelectedBest
955,coarse,3.45727357430039,7.72050912159347,161.32922502028,410.116029365838,0.46005774696588,1.78632446475313e-05,1,0,1,9,41.6079196,,0
955,coarse,3.53798568139538,7.6681404327453,157.774295068037,413.465159950831,0.460055507348701,1.56236274687083e-05,1,0,1,9,36.3339074,,0
955,coarse,3.61869778849037,7.61272278622687,154.144127429172,416.698704111246,0.460053027250368,1.31435291355064e-05,1,0,1,9,35.721597,,0
955,coarse,3.69940989558537,7.55492398905883,150.476339580172,419.842511408978,0.460050413164055,1.05294428234814e-05,1,0,1,9,34.9997572,,0
955,coarse,3.78012200268036,7.49533634012405,146.803048225784,422.919421219995,0.460047797342411,7.91362117880112e-06,1,0,1,9,32.140046,,0
955,coarse,3.86083410977535,7.43455413419622,143.153198611936,425.944562910648,0.460052089990063,1.22062688309721e-05,1,0,1,8,27.3697345,,0
955,coarse,3.94154621687035,7.37276743402763,139.541031169784,428.943490293933,0.460047314912803,7.43119157142758e-06,1,0,1,8,20.1805934,,0
955,coarse,4.02225832396534,7.31043815147758,135.986367052076,431.922701026744,0.460043448216102,3.56449486976773e-06,1,0,1,8,7.2570584,,0
955,coarse,4.10297043106033,7.24781622521393,132.500906558614,434.892265925849,0.460040092274866,2.08553633973541e-07,1,0,1,10,8.1618839,,0
955,coarse,4.18368253815533,7.18513699677969,129.094430077822,437.858094828718,0.460039935338562,5.16173304099254e-08,1,0,1,13,10.6385997,,0
955,coarse,4.26439464525032,7.12251248627766,125.772040500509,440.827909062482,0.460039998915783,1.15194550731612e-07,1,0,1,13,9.7797977,,0
955,coarse,4.34510675234532,7.0600784459392,122.538671342915,443.805367304838,0.460041592081559,1.70836032686861e-06,1,0,1,11,8.3163516,,0
955,coarse,4.42581885944031,6.99791667372698,119.397077542497,446.79427886098,0.460044112257559,4.22853632742193e-06,1,0,1,10,8.1460248,,0
955,coarse,4.5065309665353,6.93604671003037,116.347794089212,449.799537084688,0.460044044457188,4.16073595638222e-06,1,0,1,10,8.1289611,,0
955,coarse,4.5872430736303,6.87454985274071,113.392734567737,452.821707803531,0.460043551621648,3.66790041589349e-06,1,0,1,10,7.417261,,0
955,coarse,4.66795518072529,6.81351782753316,110.53380483852,455.859645007631,0.460046505244585,6.62152335306754e-06,1,0,1,9,6.51166,,0
955,coarse,4.74866728782028,6.75286219799741,107.767738605985,458.919733527642,0.460044732115977,4.84839474468313e-06,1,0,1,9,6.9153466,,0
955,coarse,4.82937939491528,6.69266495096628,105.095835856701,461.999462119231,0.460042939212459,3.05549122675552e-06,1,0,1,9,7.3622046,,0
955,coarse,4.91009150201027,6.63293716825341,102.517331165919,465.098897750068,0.460041386539003,1.50281777128169e-06,1,0,1,9,7.3591303,,0
955,coarse,4.99080360910526,6.57368134176504,100.031159070821,468.217797374458,0.460040303910253,4.20189021022033e-07,1,0,1,9,6.691947,,0
955,coarse,5.07151571620026,6.51489672884797,97.6361308217336,471.355359858864,0.460040256595915,3.72874682852409e-07,1,1,1,11,8.178988,,0
955,coarse,5.15222782329525,6.4565506863528,95.3302008770375,474.511587730704,0.460040149711958,2.65990726111553e-07,1,1,1,12,9.0341574,,0
955,coarse,5.23293993039024,6.39862648553924,93.1117772600187,477.684914862631,0.46004064022384,7.56502608445508e-07,1,1,1,11,9.0190702,,0
955,coarse,5.31365203748524,6.34108355116035,90.9786911055937,480.874021085211,0.460041422671853,1.53895062088294e-06,1,1,1,10,8.014227,,0
955,coarse,5.39436414458023,6.28385268811986,88.9281195747883,484.077912254011,0.460041039634012,1.15591277971561e-06,1,1,1,10,7.6218904,,0
955,coarse,5.47507625167523,6.22688672602777,86.9579504833873,487.293219257993,0.46004056613794,6.82416707920019e-07,1,1,1,10,7.472629,,0
955,coarse,5.55578835877022,6.17011248577231,85.0655695805275,490.516215210304,0.460040503066526,6.19345293939588e-07,1,1,1,9,6.7976731,,0
955,coarse,5.63650046586521,6.1134138549277,83.247502372632,493.743190163402,0.460039977321995,9.36007628071778e-08,1,1,1,9,6.9279862,,0
955,coarse,5.71721257296021,6.05667071481658,81.5005046009256,496.967912879773,0.46003988537346,1.65222774350937e-09,1,1,1,15,12.5161213,,0
955,coarse,5.7979246800552,5.99970491407054,80.6035957899922,500.183338979074,0.460039896070737,1.23495049741962e-08,1,0,1,13,10.0947837,,0
955,coarse,5.87863678715019,5.94228633155017,80.8309653524187,503.379952423346,0.460039889178362,5.45713008115456e-09,1,0,1,13,10.0575073,,0
955,coarse,5.95934889424519,5.88410929460435,81.1251942119743,506.544856159927,0.460039884135114,4.13882428329515e-10,1,0,1,13,10.3067667,,0
955,coarse,6.04006100134018,5.82485777176341,81.4853472546375,509.655703344601,0.460046456236523,6.57251529140312e-06,1,0,1,6,4.5428686,,0
955,coarse,6.12077310843517,NaN,NaN,NaN,NaN,NaN,0,0,0,5,3.8093227,recovery_not_bracketed_in_P2,0
955,coarse,6.20148521553017,NaN,NaN,NaN,NaN,NaN,0,0,0,5,4.1653321,recovery_not_bracketed_in_P2,0
955,coarse,6.28219732262516,NaN,NaN,NaN,NaN,NaN,0,0,0,5,4.3091593,recovery_not_bracketed_in_P2,0
955,coarse,6.36290942972015,NaN,NaN,NaN,NaN,NaN,0,0,0,5,4.5408501,recovery_not_bracketed_in_P2,0
955,coarse,6.44362153681515,NaN,NaN,NaN,NaN,NaN,0,0,0,5,4.0150431,recovery_not_bracketed_in_P2,0
955,coarse,6.52433364391014,NaN,NaN,NaN,NaN,NaN,0,0,0,5,4.1144814,recovery_not_bracketed_in_P2,0
955,coarse,6.60504575100514,NaN,NaN,NaN,NaN,NaN,0,0,0,5,3.8565449,recovery_not_bracketed_in_P2,0
955,coarse,6.68575785810013,NaN,NaN,NaN,NaN,NaN,0,0,0,5,3.8742591,recovery_not_bracketed_in_P2,0
