DOE_ID,RootRescued,BestW_N30_kW,BestP1_N30_MPa,BranchScreenFlag,SeedStagnationFlag,RepairRequested,Repaired,PowerReduction_kW
1,0,NaN,NaN,0,0,0,0,0
2,0,NaN,NaN,0,0,0,0,0
3,0,NaN,NaN,0,0,0,0,0
4,0,110.574558454285,5.91933746784197,0,0,0,0,0
5,0,NaN,NaN,0,0,0,0,0
6,0,NaN,NaN,0,0,0,0,0
7,0,91.0031700808075,5.87132798571715,0,0,0,0,0
8,0,95.6357640680634,5.29801923497312,0,0,0,0,0
9,0,102.993525292903,4.79673647798864,0,0,0,0,0
10,0,NaN,NaN,0,0,0,0,0
11,0,107.351228165793,6.47576248202685,0,0,0,0,0
12,0,NaN,NaN,0,0,0,0,0
13,0,NaN,NaN,0,0,0,0,0
14,0,106.427401332517,5.29346391750409,0,0,0,0,0
15,0,NaN,NaN,0,0,0,0,0
16,0,NaN,NaN,0,0,0,0,0
17,0,NaN,NaN,0,0,0,0,0
18,0,NaN,NaN,0,0,0,0,0
19,0,NaN,NaN,0,0,0,0,0
20,0,NaN,NaN,0,0,0,0,0
21,0,NaN,NaN,0,0,0,0,0
22,0,NaN,NaN,0,0,0,0,0
23,0,NaN,NaN,0,0,0,0,0
24,0,NaN,NaN,0,0,0,0,0
25,0,90.2354994835441,5.88324214330437,0,0,0,0,0
26,0,95.4550202702504,5.37733442423675,0,0,0,0,0
27,0,NaN,NaN,0,0,0,0,0
28,0,83.4497707224109,5.88812521645573,0,0,0,0,0
29,0,104.371248051618,5.35677984275792,0,0,0,0,0
30,0,103.906069312519,5.39466882418817,0,0,0,0,0
31,0,NaN,NaN,0,0,0,0,0
32,0,NaN,NaN,0,0,0,0,0
33,0,NaN,NaN,0,0,0,0,0
34,0,NaN,NaN,0,0,0,0,0
35,0,NaN,NaN,0,0,0,0,0
36,0,NaN,NaN,0,0,0,0,0
37,0,NaN,NaN,0,0,0,0,0
38,0,NaN,NaN,0,0,0,0,0
39,0,NaN,NaN,0,0,0,0,0
40,0,89.2535578184939,5.26682648651888,0,0,0,0,0
41,0,NaN,NaN,0,0,0,0,0
42,0,116.138679096543,4.17298243666582,0,0,0,0,0
43,0,NaN,NaN,0,0,0,0,0
44,0,NaN,NaN,0,0,0,0,0
45,0,NaN,NaN,0,0,0,0,0
46,0,NaN,NaN,0,0,0,0,0
47,0,NaN,NaN,0,0,0,0,0
48,0,95.2320233272225,6.48031566486523,0,0,0,0,0
49,0,93.6386127516169,5.2668946416639,0,0,0,0,0
50,0,NaN,NaN,0,0,0,0,0
51,0,NaN,NaN,0,0,0,0,0
52,0,NaN,NaN,0,0,0,0,0
53,0,NaN,NaN,0,0,0,0,0
54,0,NaN,NaN,0,0,0,0,0
55,0,83.7561469941254,5.26296907350361,0,0,0,0,0
56,0,NaN,NaN,0,0,0,0,0
57,0,108.105710703213,5.38484584893449,0,0,0,0,0
58,0,115.985596511063,5.89339979578302,0,0,0,0,0
59,0,NaN,NaN,0,0,0,0,0
60,0,91.5333336083334,4.67433869210244,0,0,0,0,0
61,0,NaN,NaN,0,0,0,0,0
62,0,112.537833742578,6.48047241084425,0,0,0,0,0
63,0,85.7614057161083,5.92041577149724,0,0,0,0,0
64,0,NaN,NaN,0,0,0,0,0
65,0,NaN,NaN,0,0,0,0,0
66,0,103.515353943373,5.27390609207383,0,0,0,0,0
67,0,NaN,NaN,0,0,0,0,0
68,0,109.322474107435,5.34412576146019,0,0,0,0,0
69,0,NaN,NaN,0,0,0,0,0
70,0,NaN,NaN,0,0,0,0,0
71,0,NaN,NaN,0,0,0,0,0
72,0,102.06292713079,5.91043483500137,0,0,0,0,0
73,0,96.6423907592629,5.26208159396697,0,0,0,0,0
74,0,NaN,NaN,0,0,0,0,0
75,0,NaN,NaN,0,0,0,0,0
76,0,NaN,NaN,0,0,0,0,0
77,0,NaN,NaN,0,0,0,0,0
78,0,NaN,NaN,0,0,0,0,0
79,0,97.4009688429257,5.89358381596929,0,0,0,0,0
80,0,89.8122745557662,5.29374083391404,0,0,0,0,0
81,0,NaN,NaN,0,0,0,0,0
82,0,NaN,NaN,0,0,0,0,0
83,0,NaN,NaN,0,0,0,0,0
84,0,NaN,NaN,0,0,0,0,0
85,0,99.6836686151123,4.73022693963929,0,0,0,0,0
86,0,NaN,NaN,0,0,0,0,0
87,0,91.0521563578721,5.92979095501918,0,0,0,0,0
88,0,NaN,NaN,0,0,0,0,0
89,0,NaN,NaN,0,0,0,0,0
90,0,120.338282657429,5.95585014550394,0,0,0,0,0
91,0,NaN,NaN,0,0,0,0,0
92,0,114.930739865286,5.9511480075461,1,0,1,0,0
93,0,NaN,NaN,0,0,0,0,0
94,0,97.7787576214141,5.36329668302983,0,0,0,0,0
95,0,NaN,NaN,0,0,0,0,0
96,0,110.889999889771,4.78743122711689,0,0,0,0,0
97,0,NaN,NaN,0,0,0,0,0
98,0,NaN,NaN,0,0,0,0,0
99,0,NaN,NaN,0,0,0,0,0
100,0,111.460917333232,4.77629406461425,0,0,0,0,0
101,0,NaN,NaN,0,0,0,0,0
102,0,NaN,NaN,0,0,0,0,0
103,0,NaN,NaN,0,0,0,0,0
104,0,NaN,NaN,0,0,0,0,0
105,0,NaN,NaN,0,0,0,0,0
106,0,NaN,NaN,0,0,0,0,0
107,0,NaN,NaN,0,0,0,0,0
108,0,NaN,NaN,0,0,0,0,0
109,0,NaN,NaN,0,0,0,0,0
110,0,NaN,NaN,0,0,0,0,0
111,0,NaN,NaN,0,0,0,0,0
112,0,NaN,NaN,0,0,0,0,0
113,0,112.446657430658,5.38962154257077,0,0,0,0,0
114,0,NaN,NaN,0,0,0,0,0
115,0,NaN,NaN,0,0,0,0,0
116,0,84.2448967470789,5.34185815233381,0,0,0,0,0
117,0,NaN,NaN,0,0,0,0,0
118,0,NaN,NaN,0,0,0,0,0
119,0,NaN,NaN,0,0,0,0,0
120,0,NaN,NaN,0,0,0,0,0
121,0,NaN,NaN,0,0,0,0,0
122,0,NaN,NaN,0,0,0,0,0
123,0,96.0867055937324,5.9065652690509,1,0,1,0,0
124,0,83.1043073276246,5.33581133922743,0,0,0,0,0
125,0,NaN,NaN,0,0,0,0,0
126,0,94.870023759555,5.87429457991841,0,0,0,0,0
127,0,117.289528032849,4.22174136695553,0,0,0,0,0
128,0,NaN,NaN,0,0,0,0,0
129,0,NaN,NaN,0,0,0,0,0
130,0,108.050688447567,5.27566762902857,0,0,0,0,0
131,0,95.4982706564841,5.86858394173276,0,0,0,0,0
132,0,NaN,NaN,0,0,0,0,0
133,0,NaN,NaN,0,0,0,0,0
134,0,NaN,NaN,0,0,0,0,0
135,0,96.0701177829682,5.26990843938497,0,0,0,0,0
136,0,NaN,NaN,0,0,0,0,0
137,0,NaN,NaN,0,0,0,0,0
138,0,NaN,NaN,0,0,0,0,0
139,0,102.793668125395,5.31214705853543,0,0,0,0,0
140,0,NaN,NaN,0,0,0,0,0
141,0,NaN,NaN,0,0,0,0,0
142,0,NaN,NaN,0,0,0,0,0
143,0,122.122813095749,5.34772013905807,0,0,0,0,0
144,0,NaN,NaN,0,0,0,0,0
145,0,80.9857160478072,5.28891521259825,0,0,0,0,0
146,0,110.91076649269,5.33208465891538,0,0,0,0,0
147,0,82.9101504147326,5.89710627511718,0,0,0,0,0
148,0,94.1590147842351,6.49083056383698,0,0,0,0,0
149,0,NaN,NaN,0,0,0,0,0
150,0,114.066041654573,5.35939094987736,0,0,0,0,0
151,0,NaN,NaN,0,0,0,0,0
152,0,NaN,NaN,0,0,0,0,0
153,0,NaN,NaN,0,0,0,0,0
154,0,NaN,NaN,0,0,0,0,0
155,0,NaN,NaN,0,0,0,0,0
156,0,86.6841009684412,5.284543236482,0,0,0,0,0
157,0,94.2730872931999,6.48633367263898,0,0,0,0,0
158,0,NaN,NaN,0,0,0,0,0
159,0,NaN,NaN,0,0,0,0,0
160,0,106.398971334587,5.89508757025113,0,0,0,0,0
161,0,93.9241288262515,5.28389040845842,0,0,0,0,0
162,0,NaN,NaN,0,0,0,0,0
163,0,NaN,NaN,0,0,0,0,0
164,0,NaN,NaN,0,0,0,0,0
165,0,95.0224652300772,5.32743862803067,0,0,0,0,0
166,0,NaN,NaN,0,0,0,0,0
167,0,NaN,NaN,0,0,0,0,0
168,0,NaN,NaN,0,0,0,0,0
169,0,NaN,NaN,0,0,0,0,0
170,0,91.8722050431974,4.69016354447236,0,0,0,0,0
171,0,NaN,NaN,0,0,0,0,0
172,0,111.079024059285,6.52821587429618,0,0,0,0,0
173,0,95.4552873234971,5.93732667853532,0,0,0,0,0
174,0,NaN,NaN,0,0,0,0,0
175,0,100.855367905796,5.95802022298159,0,0,0,0,0
176,0,NaN,NaN,0,0,0,0,0
177,0,91.3659447304276,5.93632957496732,0,0,0,0,0
178,0,90.223576372296,4.68231559773725,0,0,0,0,0
179,0,NaN,NaN,0,0,0,0,0
180,0,NaN,NaN,0,0,0,0,0
181,0,NaN,NaN,0,0,0,0,0
182,0,NaN,NaN,0,0,0,0,0
183,0,NaN,NaN,0,0,0,0,0
184,0,NaN,NaN,0,0,0,0,0
185,0,NaN,NaN,0,0,0,0,0
186,0,99.3331693904403,5.27891579848738,0,0,0,0,0
187,0,NaN,NaN,0,0,0,0,0
188,0,NaN,NaN,0,0,0,0,0
