ScoreBin,GroupCount,ValidCount,ValidPct,MeanScore,MeanRuntime_s
<0.50,0,0,NaN,NaN,NaN
0.50-0.60,385,178,46.2337662337662,0.551468350546,34.8441787277922
0.60-0.70,412,305,74.0291262135922,0.649711297744699,32.5104682606796
0.70-0.80,406,359,88.423645320197,0.752090816458558,32.5418832559113
0.80-0.90,511,500,97.8473581213307,0.85029073259864,28.9785413033268
>=0.90,686,684,99.7084548104956,0.961303841158722,23.8809477212828
