Target,N,RMSE,MAE,R2,MAPE_pct,MaxAE,P95AE,NRMSE_range_pct
W_RO_train_kW,132,0.0927820797734386,0.056524472976856,0.999895033646127,0.0612754751582476,0.452085204912251,0.17940382624387,0.200650074484825
P1_opt_gauge_MPa,132,0.00853909706316901,0.00484985238288122,0.999757369738952,0.0811674607526625,0.0407293887760369,0.0201699966627779,0.332472238671707
P2_opt_gauge_MPa,132,0.0118018367533985,0.00453396567145807,0.999517857151475,0.0710915560116358,0.110415390014042,0.0146024567769196,0.471591530795665
Cp_hybrid_mg_L,132,0.0737143694820165,0.0335338434768348,0.999928747694356,0.00685927680277996,0.43044028539282,0.147182206323975,0.229992198138097
SEC_derived_kWh_m3,132,0.00320720560606335,0.00197845201714737,0.999895390512043,0.0612855761474057,0.0149773252558543,0.00659680410698698,0.210711640804828
