DOE_ID,DOE_Type,Qf_train_m3h,T_RO_in_C,Cf_kg_m3,R_target,Qp_train_m3h,Recovery_actual,Recovery_error,Cp_mg_L,W_RO_train_kW,SEC_kWh_m3,P1_opt_gauge_MPa,P2_opt_gauge_MPa,Javg_LMH,Jfirst_stage1_LMH,Jfirst_stage2_LMH,Jmax_local_stage1_LMH,Jmax_local_stage2_LMH,CPFmax_stage1,CPFmax_stage2,dP_stage1_MPa,dP_stage2_MPa,Cb_max_kg_m3,Qf_PV_stage1_m3h,Qf_PV_stage2_m3h,Qb_PV_stage1_m3h,Qb_PV_stage2_m3h,Qhpp_m3h,PXout_gauge_MPa,PX_excess_pressure_MPa,PX_booster_deltaP_MPa,PX_leakage_pct,PX_mix_pct,PX_iterations,PhysicalFeasible,RecoveryTargetMet,DatasetValid,FeasibilityMarginScaled,MaxConstraintViolationScaled,ExitFlag,FminconIterations,FminconFunctionCount,LocalStartsAttempted,OptimizerMethod,AnalyticScreenPassed,AnalyticRmax,AnalyticJavgTarget_LMH,RootEvalCountCoarse,RootEvalCountFinal,HybridSeedRankUsed,HybridSeedP1_N30_MPa,HybridSeedP2_N30_MPa,HybridN150SeedTrials,Runtime_s,FailureReason,ErrorMessage
1,LowTemperatureChallenge,56.9249423655755,23.0401799579564,38.7431931614459,0.520921522570416,29.6534276493087,0.520921522570415,-9.99200722162641e-16,500.000000000002,102.76012726235,3.46537096748565,6.84277242058044,7.47847089336985,19.4423207771497,30.0702945184875,19.5853699632118,32.0002373325221,21.4918329093108,1.15623921686005,1.12979671231352,0.321433062815078,0.203020912398561,82.74101570902,11.3849884731151,8.99562642170718,7.19650113736574,6.81787867906669,30.0060757990901,7.1922232807165,0.349450860136056,0,1.29310070764425,5.55953117744634,5,1,1,1,-3.5527136788005e-15,3.5527136788005e-15,1,3,12,1,root_seeded_fmincon,1,0.535863520143796,19.4423207771497,24,3,1,6.68297907497625,7.56487120639318,2,30.6262472,,
2,LowTemperatureChallenge,58.2507975958714,26.613570630824,40.7181773997337,0.517384559669221,30.1380632645209,0.517384559669222,1.88737914186277e-15,499.999999999996,112.33536565944,3.72735847932482,6.48816708455229,7.76527386627897,19.7600729507743,29.0178698741618,24.0199149383078,31.0976975591315,26.5437216649633,1.13185065103714,1.13561831448068,0.337401406173454,0.215909091659295,86.330904306104,11.6501595191743,9.63207110435086,7.70565688348069,7.02818358283762,30.5111224424509,7.45834834403281,0.970181259480515,0,1.32701135909792,5.54820871413332,5,1,1,1,7.66053886991358e-15,0,1,3,12,1,root_seeded_fmincon,1,0.523666649367253,19.7600729507742,23,6,1,6.73153703017487,7.52946586905678,2,32.9221686,,
3,LowTemperatureChallenge,53.4479671081323,26.0669485270966,39.5328837913018,0.527499344850539,28.193767633133,0.527499344850539,2.22044604925031e-16,500,120.681365901986,4.28042706006282,5.50525386353696,8.22040272286263,18.4852921801292,20.8115685456687,32.140536709734,22.3261286415542,35.3205193037491,1.10210857698759,1.18362918359615,0.316263067123564,0.200814734698582,85.6220508051067,10.6895934216265,9.7959557940028,7.83676463520224,6.31354986874982,28.5435951160263,7.91562588943696,2.4103720259,0,1.38522499293471,5.52881675057537,5,1,1,1,6.66133814775094e-16,0,1,4,15,1,root_seeded_fmincon,1,0.563878393393276,18.4852921801291,27,6,1,5.90394750619909,7.8505337058201,2,37.2325339,,
4,LowTemperatureChallenge,60.3298293367037,26.6368723013596,39.2120345236924,0.484557370941894,29.2332634927663,0.484557370941894,1.11022302462516e-16,489.950994975419,95.5974089252239,3.27015863107036,6.62186862324177,6.81648315178375,19.1668394261515,31.5415968676048,17.2337520308946,33.7086388496238,18.979420657083,1.13879872142778,1.0944217302484,0.349999999999997,0.235488105210512,77.741029577802,12.0659658673407,9.68024745934319,7.74419796747456,7.77414146098435,29.608638593219,6.51833636295175,0,0.103532260290017,1.20712718676577,5.58832354500831,5,1,1,1,8.56457761853692e-15,0,1,3,12,1,root_seeded_fmincon,1,0.505620525291987,19.1668394261515,39,3,1,6.69489796026091,6.71380950288035,3,33.2569445,,
5,LowTemperatureChallenge,52.2926450057671,26.7323271164949,38.5368667491179,0.495929630695276,25.9334721257894,0.495929630695279,2.99760216648792e-15,499.999999999997,114.095658277554,4.39955196605133,4.92651572316075,7.74859726326542,17.0033255479868,16.9168490654379,32.4879105898737,18.1807692538141,35.4690980305455,1.08205759998286,1.17318387986734,0.3179931901577,0.213528309852209,78.1271082470969,10.4585290011534,10.1777251670255,8.14218013362041,6.58979321999443,26.2827948334549,7.44445455068992,2.51793882752917,0,1.32524153643256,5.5487991642747,5,1,1,1,5.77315972805081e-15,0,1,3,12,1,root_seeded_fmincon,1,0.57500707542885,17.0033255479867,42,17,2,5.05691017808371,7.59202786582697,3,48.2705705,,
6,LowTemperatureChallenge,57.9393250817263,23.3496940905476,39.7966878813505,0.520220684768212,30.1412353690238,0.520220684768214,1.88737914186277e-15,499.999999999997,109.429041045596,3.63054266707517,6.83179282307312,7.74497311614692,19.7621527465407,29.6257654357401,21.4796367462979,31.5553157895093,23.5695770123029,1.14993739394875,1.13709203032745,0.335579679440976,0.212820403254534,84.8739167062805,11.5878650163453,9.33283198777132,7.46626559021706,6.94952242817563,30.5095268406278,7.44162038204821,0.609827558975089,0,1.32488050585608,5.54891961814612,5,1,1,1,5.6621374255883e-15,0,1,3,12,1,root_seeded_fmincon,1,0.526481797241728,19.7621527465406,19,3,1,6.70866936818934,7.79683715744698,1,30.5123641,,
7,LowTemperatureChallenge,57.2905033333217,26.198856653847,38.7282304771612,0.466144811776897,26.7056708929148,0.466144811776895,-1.55431223447522e-15,500.000000000002,95.3243817561515,3.56944343912519,5.81884452284709,6.91228763898581,17.5096189961414,24.4494489574432,21.8179418012718,26.1449603279808,23.8386583942528,1.112631398849,1.11653449489292,0.344919113022851,0.240343418263102,74.0567655990619,11.4581006666643,10.0966054107095,8.07728432856758,7.6462081101017,27.0783124219117,6.60652509772818,0.787680574881088,0,1.21838669452547,5.58454569097252,5,1,1,1,-3.5527136788005e-15,3.5527136788005e-15,1,3,12,1,root_seeded_fmincon,1,0.532444266068405,17.5096189961414,40,17,1,5.87457189425471,6.82498502131754,3,47.7062706,,
8,LowTemperatureChallenge,55.6152536414568,21.3509878468457,39.3151691283844,0.540980745673128,30.0867811333624,0.54098074113493,-4.53819792856081e-09,503.792011311546,117.256444845327,3.89727449824484,6.73810015684538,8.3,19.7264497333874,27.2300128931204,24.5016158387355,28.9284407780487,26.8096046200886,1.15179219938851,1.17227950403098,0.321156451364594,0.196814994460539,87.6923375534045,11.1230507282914,9.105379785961,7.2843038287688,6.38211812702359,30.4430499358089,7.99697793319254,1.25887777634716,0,1.39557430368579,5.52537517746994,5,0,1,0,-0.00758402262309144,0.00758402262309144,-2,6,26,1,root_seeded_fmincon,1,0.548482619474411,19.7264498988693,20,14,2,7.49833700621983,7.61616191455987,2,52.7639675,Product_salinity_max,
9,LowTemperatureChallenge,55.7225740075913,25.9512661781405,39.1856340751417,0.490402879526519,27.3265107479522,0.490402879526516,-2.88657986402541e-15,500.000000000004,106.483660540257,3.8967163251253,5.69655434720465,7.47206532491354,17.91667371358,22.7869714884757,26.1253152555869,24.394168299652,28.5809641783354,1.10828832111418,1.14382733274194,0.334314282794718,0.224836376727289,78.5763025226894,11.1445148015183,10.0017560674265,8.00140485394124,7.09901581490977,27.6927083515102,7.16481520193732,1.46826085473267,0,1.28960694378546,5.56069881169022,5,1,1,1,-8.43769498715119e-15,8.43769498715119e-15,1,3,12,1,root_seeded_fmincon,1,0.54742625485758,17.9166737135801,37,9,1,5.89123944998293,7.26407838004672,3,38.5367339,,
10,LowTemperatureChallenge,54.2113498667278,24.3400877100937,38.79945471211,0.552610799117754,29.9577773711046,0.552610799117754,-2.22044604925031e-16,500,115.305618785915,3.84893770180467,6.34130501684346,8.17620397388252,19.6418681950594,27.0137693563269,26.3820502855937,28.8571313817937,29.1464056929061,1.14008256292879,1.17380167999602,0.301171782146779,0.180875838105878,88.835210124806,10.8422699733456,8.90416147155369,7.12332917724296,6.06339312390579,30.2930154945398,7.89202072487103,1.55071570802757,0,1.38222162320915,5.52981583187147,5,1,1,1,-6.66133814775094e-16,6.66133814775094e-16,1,4,15,1,root_seeded_fmincon,1,0.562686597455892,19.6418681950594,19,6,1,6.68452852531635,7.85629598434636,2,34.7581401,,
