Qf_train_m3h,T_RO_in_C,Cf_kg_m3,candidate_count,feasible_count,best_R_target_min_SEC,best_Qp_train_m3h,best_W_RO_train_kW,best_SEC_kWh_m3,best_Cp_mg_L,best_P1_opt_gauge_MPa,best_P2_opt_gauge_MPa,best_P_feasible
61.45,20.5,38.5,35,7,0.55,33.7975,120.740326484302,3.57246324385834,471.073027509566,8.26193470988507,7.94956076321117,0.905621485956267
63,20.5,38.5,35,3,0.56,35.28,129.808171843371,3.67936995020894,463.738009854872,8.92522506264984,8.08314864700168,0.819498389680729
47.5,21,38.5,35,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
49.05,21,38.5,35,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
50.6,21,38.5,35,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
52.15,21,38.5,35,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
53.7,21,38.5,35,8,0.53,28.461,118.787994630624,4.17371120588257,500,6.05231931019052,8.36593033619687,0.813863929109446
55.25,21,38.5,35,10,0.535,29.55875,112.112691222887,3.79287660076582,500,6.66592979697943,8.05836701515371,0.87067591265383
56.8,21,38.5,35,12,0.53,30.104,105.645927452064,3.50936511600002,500,7.13559831507613,7.68214506696923,0.983799967979457
58.35,21,38.5,35,13,0.49,28.5915,96.5067747229866,3.37536592074521,497.830596846217,6.88099499615688,7.16612730038988,0.963658263191594
59.9,21,38.5,35,11,0.515,30.8485,107.228792484039,3.47598076029754,482.681366191551,7.29277758752461,7.44270871777861,0.86871132518393
61.45,21,38.5,35,8,0.545,33.49025,118.761871076014,3.54616257197286,471.393262528842,8.16389077157928,7.80885930846376,0.924273420270026
63,21,38.5,35,4,0.555,34.965,127.367590342396,3.64271672650924,464.315592087916,8.88234683250837,7.94581554159808,0.833383191810277
47.5,21.5,38.5,35,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
49.05,21.5,38.5,35,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
50.6,21.5,38.5,35,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
52.15,21.5,38.5,35,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
53.7,21.5,38.5,35,9,0.53,28.461,117.470715975188,4.1274275666768,500,6.03738761232323,8.29132390649197,0.926373448135423
55.25,21.5,38.5,35,11,0.535,29.55875,111.023481570796,3.7560276253494,500,6.64283940621078,7.99457459167517,0.931177415039332
56.8,21.5,38.5,35,14,0.525,29.82,103.805794409411,3.48107962472875,500,7.02614855626025,7.58457251250149,0.996367286649859
58.35,21.5,38.5,35,15,0.485,28.29975,94.628515692324,3.34379334419293,498.760438843303,6.78178020818166,7.06605616590354,0.944060919177482
59.9,21.5,38.5,35,13,0.51,30.549,105.329197013641,3.44787708316608,483.722050201611,7.20411884654546,7.32423109469141,0.862621882381922
61.45,21.5,38.5,35,9,0.545,33.49025,117.93531153386,3.5214819696437,469.841842142064,8.05605936853101,7.81602402686494,0.950396003388572
63,21.5,38.5,35,5,0.55,34.65,125.157950602721,3.6120620664566,464.959687516733,8.8330120544751,7.80002406448572,0.834871263631384
47.5,22,38.5,35,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
49.05,22,38.5,35,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
50.6,22,38.5,35,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
52.15,22,38.5,35,3,0.505,26.33575,126.220824854189,4.79275603900361,500,5.08453870780189,8.42148411623075,0.811927820646774
